@0	0001110100110001
@1	1111010000000001
@2	0001101010110000
@3	1111011000010111
@4	0100110101000011
@5	1111110110110001
@6	0000001011111000
@7	1111001111101111
@8	1110000010000001
@9	1111101110001001
@A	1110000101101100
@B	0010001001011110
@C	1101101110010110
@D	1111111000001011
@E	0010100100100001
@F	1111111100110100
@10	1101110100000000
@11	0000001010100001
@12	0000011011111001
@13	0000000101000000
@14	0001011101001100
@15	0000010000011011
@16	0000100011100110
@17	0000010001111001
@18	0000010100111110
@19	1101101100111001
@1A	1110101100111011
@1B	0001000110110111
@1C	1111001100011101
@1D	1111010110001101
@1E	0001100110110101
@1F	1110111101011000
@20	0000011100001111
@21	0000010101100010
@22	0000010101101000
@23	0010110111100110
@24	1111100010101101
@25	0000100101111011
@26	1111010100111110
@27	0001001000100000
@28	0000011000001001
@29	1110000101010010
@2A	1110111110111010
@2B	0100100101100011
@2C	0000000000111101
@2D	1111111111001100
@2E	1111111100100110
@2F	1111110000011001
@30	0010110011001000
@31	1111001001010111
@32	0000110001001100
@33	0001100111001101
@34	0000100111010101
@35	1111101010010011
@36	0000010101100010
@37	0001011110100100
@38	0000100001110001
@39	1100111010011110
@3A	1100000110011011
@3B	0010000011010100
@3C	1110100001001100
@3D	1111010011111111
@3E	1111101010001010
@3F	1110111100011000
@40	0000001010001110
@41	0000000111100011
@42	1111011110111011
@43	0001000001001001
@44	1111010111010000
@45	1110001011110010
@46	1111011101101000
@47	1111110000101010
@48	0001101000101111
@49	1010101111100101
@4A	1011111010100110
@4B	0010100100101001
@4C	1111101110101011
@4D	1111011011101010
@4E	1110101101010110
@4F	1101100101001100
@50	1100010011000001
@51	1111110110010110
@52	0000011010101101
@53	0011011010110111
@54	0001001111110110
@55	0000011101110011
@56	1110100111100001
@57	0000000000000000
@58	0001000011000011
@59	1111101100101111
@5A	1111110101111001
@5B	0000011110100111
@5C	1110011011001000
@5D	1110001101010001
@5E	0000000111100110
@5F	1110001100100010
@60	1100101111000000
@61	1111100110010010
@62	0001100111111000
@63	0000000111010110
@64	1101010111000011
@65	0001110101111011
@66	1100100101010001
@67	0001111111011001
@68	0011100111011111
@69	0000010001011000
@6A	1111100101111110
@6B	0000011101101011
@6C	1111000000110001
@6D	1110111100010001
@6E	0010101111010100
@6F	1111100001001011
@70	1011100000100101
@71	1110000100101010
@72	0011100110011001
@73	1110001111101111
@74	1100100000100100
@75	0010010101101010
@76	0000100110000101
@77	0011001100101010
@78	0001001100100111
@79	0000001011000100
@7A	1111111110001110
@7B	0000001001100101
@7C	1101000101001110
@7D	1110101000101111
@7E	0100110100010100
@7F	1111001010101011
@80	1101010011000101
@81	1011011101001101
@82	0001110111010011
@83	1100101101100100
@84	1100110110101010
@85	1111101100000010
@86	0010000011111101
@87	0100010110000101
@88	0001000010100111
@89	0000000101001010
@8A	0000111101110011
@8B	0000000100101111
@8C	1101110100010000
@8D	1111011001000100
@8E	0001111111110101
@8F	1111011010101100
@90	1110000101101111
@91	0000010010011001
@92	1110111101001100
@93	1111000010110010
@94	1011110110101001
@95	1111100001111101
@96	1101011000011101
@97	0100100010010110
@98	0000100000000111
@99	1111111100110011
@9A	0000001000000011
@9B	1101111110011111
@9C	1111101110100110
@9D	1111001000110111
@9E	0001010000101001
@9F	1111101101011010
@A0	1111011101011011
@A1	0000000111100100
@A2	0000101000010010
@A3	0000001000100110
@A4	0000000100111100
@A5	0001010101111101
@A6	0000010101101010
@A7	0011000100000000
@A8	0001001001010111
@A9	0010111101100011
@AA	1110110110101101
@AB	0000010101111000
@AC	1111001100011000
@AD	1111111111101110
@AE	0010100101111101
@AF	1111001101011101
@B0	1100111001010111
@B1	0011011011100001
@B2	0001011000001110
@B3	0000001010000100
@B4	0001101110000110
@B5	1110101011100110
@B6	0000000011100001
@B7	0001000111110101
@B8	0000000011100010
@B9	0010101000010101
@BA	1011000011101000
@BB	0001010000101111
@BC	1110001111000111
@BD	1110111000110011
@BE	1111101011011100
@BF	1111101000110011
@C0	1100100101000010
@C1	0001001011001110
@C2	1111111101101100
@C3	0001001001001100
@C4	1111010100001110
@C5	1110110101110110
@C6	1111011010011001
@C7	0001110110011001
@C8	0001001000110011
@C9	1101011111000110
@CA	1111100011011101
@CB	0011010110111010
@CC	1111010000011110
@CD	1110111010111100
@CE	1111010010010101
@CF	1111001010101111
@D0	1111000100101110
@D1	0000010011010111
@D2	0010000010000110
@D3	0010100010100101
@D4	1111001111000101
@D5	0001011111101001
@D6	1110100110011000
@D7	0000100100001001
@D8	0001010011110111
@D9	0000111010010101
@DA	1111001110010101
@DB	0001001001010000
@DC	1110111110010011
@DD	1111000111000101
@DE	1111101000000110
@DF	1111010111101001
@E0	1110100010001000
@E1	0000010001001011
@E2	0010001110111001
@E3	0001111001001000
@E4	1101101001011110
@E5	0010000011010011
@E6	1110111000001011
@E7	0000101111001011
@E8	0000100100100100
@E9	0010100111100011
@EA	1011000100100001
@EB	0000100101100100
@EC	1111000100001001
@ED	1111101110101010
@EE	1111101011101011
@EF	1101000000000011
@F0	1011001011010000
@F1	0000111110110010
@F2	0000100101100011
@F3	0001110010001010
@F4	1111100000010000
@F5	0001010001001001
@F6	0000110111100101
@F7	0000111011010111
@F8	0000010000111011
@F9	0001110100110111
@FA	1111000010000011
@FB	0001011011000000
@FC	0000101101110111
@FD	1011001101111110
@FE	1111000001110011
@FF	1011101011011101
